pt = [528, 2035, 1]
pt = [528, 2050, 1]
pt = [528, 2051, 1]
pt = [528, 2052, 1]
pt = [528, 2062, 1]
pt = [529, 1078, 1]
pt = [529, 1605, 1]
pt = [529, 1606, 1]
pt = [529, 1607, 1]
pt = [529, 1622, 1]
pt = [529, 1695, 1]
pt = [529, 1758, 1]
pt = [529, 1763, 1]
pt = [529, 1766, 1]
pt = [529, 1777, 1]
pt = [529, 1976, 1]
pt = [529, 1977, 1]
pt = [529, 1980, 1]
pt = [529, 2033, 1]
pt = [529, 2050, 1]
pt = [529, 2051, 1]
pt = [529, 2052, 1]
pt = [529, 3031, 1]
pt = [530, 1147, 1]
pt = [530, 1148, 1]
pt = [530, 1619, 1]
pt = [530, 1695, 1]
pt = [530, 1766, 1]
pt = [530, 1971, 1]
pt = [530, 1972, 1]
pt = [530, 2046, 1]
pt = [530, 2065, 1]
pt = [530, 2066, 1]
pt = [530, 3015, 1]
pt = [530, 3031, 1]
pt = [531, 1217, 1]
pt = [531, 1625, 1]
pt = [531, 1695, 1]
pt = [531, 1765, 1]
pt = [531, 1969, 1]
pt = [531, 1970, 1]
pt = [531, 1973, 1]
pt = [531, 2050, 1]
pt = [531, 2054, 1]
pt = [531, 2058, 1]
pt = [531, 2059, 1]
pt = [531, 2060, 1]
pt = [531, 2061, 1]
pt = [531, 2063, 1]
pt = [531, 2119, 1]
pt = [531, 2120, 1]
pt = [531, 2125, 1]
pt = [531, 2195, 1]
pt = [531, 3016, 1]
pt = [532, 1217, 1]
pt = [532, 1282, 1]
pt = [532, 1604, 1]
pt = [532, 1605, 1]
pt = [532, 1625, 1]
pt = [532, 1694, 1]
pt = [532, 1765, 1]
pt = [532, 1968, 1]
pt = [532, 2043, 1]
pt = [532, 2054, 1]
pt = [532, 2057, 1]
pt = [532, 2058, 1]
pt = [532, 2059, 1]
pt = [532, 2122, 1]
pt = [532, 2123, 1]
pt = [532, 2126, 1]
pt = [532, 2195, 1]
pt = [532, 3017, 1]
pt = [532, 3025, 1]
pt = [532, 3096, 1]
pt = [533, 1282, 1]
pt = [533, 1603, 1]
pt = [533, 1613, 1]
pt = [533, 1614, 1]
pt = [533, 1625, 1]
pt = [533, 1633, 1]
pt = [533, 1634, 1]
pt = [533, 1777, 1]
pt = [533, 1967, 1]
pt = [533, 2043, 1]
pt = [533, 2044, 1]
pt = [533, 2052, 1]
pt = [533, 2053, 1]
pt = [533, 2057, 1]
pt = [533, 2195, 1]
pt = [533, 2199, 1]
pt = [533, 3017, 1]
pt = [533, 3018, 1]
pt = [533, 3036, 1]
pt = [534, 1219, 1]
pt = [534, 1341, 1]
pt = [534, 1615, 1]
pt = [534, 1616, 1]
pt = [534, 1673, 1]
pt = [534, 1674, 1]
pt = [534, 1777, 1]
pt = [534, 1830, 1]
pt = [534, 1831, 1]
pt = [534, 1832, 1]
pt = [534, 1966, 1]
pt = [534, 1981, 1]
pt = [534, 2118, 1]
pt = [534, 2179, 1]
pt = [534, 2199, 1]
pt = [534, 2200, 1]
pt = [534, 2801, 1]
pt = [534, 3018, 1]
pt = [535, 1097, 1]
pt = [535, 1098, 1]
pt = [535, 1219, 1]
pt = [535, 1341, 1]
pt = [535, 1404, 1]
pt = [535, 1410, 1]
pt = [535, 1616, 1]
pt = [535, 1673, 1]
pt = [535, 1772, 1]
pt = [535, 1777, 1]
pt = [535, 1979, 1]
pt = [535, 1980, 1]
pt = [535, 2053, 1]
pt = [535, 2054, 1]
pt = [535, 2118, 1]
pt = [535, 2127, 1]
pt = [535, 2179, 1]
pt = [535, 2183, 1]
pt = [535, 2184, 1]
pt = [535, 2192, 1]
pt = [535, 2193, 1]
pt = [535, 2194, 1]
pt = [535, 2880, 1]
pt = [535, 2881, 1]
pt = [535, 2882, 1]
pt = [535, 3012, 1]
pt = [535, 3018, 1]
pt = [535, 3019, 1]
pt = [535, 3020, 1]
pt = [536, 1282, 1]
pt = [536, 1341, 1]
pt = [536, 1362, 1]
pt = [536, 1363, 1]
pt = [536, 1405, 1]
pt = [536, 1410, 1]
pt = [536, 1419, 1]
pt = [536, 1695, 1]
pt = [536, 1746, 1]
pt = [536, 1747, 1]
pt = [536, 1748, 1]
pt = [536, 1776, 1]
pt = [536, 1979, 1]
pt = [536, 2055, 1]
pt = [536, 2185, 1]
pt = [536, 2186, 1]
pt = [536, 2187, 1]
pt = [536, 2188, 1]
pt = [536, 2875, 1]
pt = [536, 2876, 1]
pt = [536, 2877, 1]
pt = [536, 2878, 1]
pt = [536, 3018, 1]
pt = [536, 3019, 1]
pt = [536, 3041, 1]
pt = [536, 3042, 1]
pt = [537, 1154, 1]
pt = [537, 1218, 1]
pt = [537, 1279, 1]
pt = [537, 1280, 1]
pt = [537, 1284, 1]
pt = [537, 1285, 1]
pt = [537, 1341, 1]
pt = [537, 1342, 1]
pt = [537, 1350, 1]
pt = [537, 1351, 1]
pt = [537, 1352, 1]
pt = [537, 1353, 1]
pt = [537, 1354, 1]
pt = [537, 1355, 1]
pt = [537, 1356, 1]
pt = [537, 1684, 1]
pt = [537, 1685, 1]
pt = [537, 1696, 1]
pt = [537, 1745, 1]
pt = [537, 1748, 1]
pt = [537, 1749, 1]
pt = [537, 1776, 1]
pt = [537, 1972, 1]
pt = [537, 2179, 1]
pt = [537, 3016, 1]
pt = [537, 3035, 1]
pt = [537, 3100, 1]
pt = [537, 3101, 1]
pt = [537, 3102, 1]
pt = [538, 1289, 1]
pt = [538, 1290, 1]
pt = [538, 1291, 1]
pt = [538, 1292, 1]
pt = [538, 1294, 1]
pt = [538, 1343, 1]
pt = [538, 1348, 1]
pt = [538, 1416, 1]
pt = [538, 1751, 1]
pt = [538, 1752, 1]
pt = [538, 1978, 1]
pt = [538, 2042, 1]
pt = [538, 2043, 1]
pt = [538, 2044, 1]
pt = [538, 2183, 1]
pt = [538, 2806, 1]
pt = [538, 2807, 1]
pt = [538, 2874, 1]
pt = [538, 3016, 1]
pt = [539, 1218, 1]
pt = [539, 1294, 1]
pt = [539, 1295, 1]
pt = [539, 1338, 1]
pt = [539, 1339, 1]
pt = [539, 1340, 1]
pt = [539, 1351, 1]
pt = [539, 1352, 1]
pt = [539, 1357, 1]
pt = [539, 1409, 1]
pt = [539, 1416, 1]
pt = [539, 1417, 1]
pt = [539, 1424, 1]
pt = [539, 2053, 1]
pt = [539, 2054, 1]
pt = [539, 2183, 1]
pt = [539, 2202, 1]
pt = [539, 2731, 1]
pt = [539, 2732, 1]
pt = [539, 2733, 1]
pt = [539, 2734, 1]
pt = [539, 2802, 1]
pt = [539, 2803, 1]
pt = [539, 2874, 1]
pt = [539, 3016, 1]
pt = [540, 1159, 1]
pt = [540, 1219, 1]
pt = [540, 1220, 1]
pt = [540, 1334, 1]
pt = [540, 1335, 1]
pt = [540, 1337, 1]
pt = [540, 1338, 1]
pt = [540, 1339, 1]
pt = [540, 1340, 1]
pt = [540, 1341, 1]
pt = [540, 1342, 1]
pt = [540, 1343, 1]
pt = [540, 1348, 1]
pt = [540, 1351, 1]
pt = [540, 1352, 1]
pt = [540, 1353, 1]
pt = [540, 1356, 1]
pt = [540, 1357, 1]
pt = [540, 1364, 1]
pt = [540, 1405, 1]
pt = [540, 1414, 1]
pt = [540, 1415, 1]
pt = [540, 1416, 1]
pt = [540, 1423, 1]
pt = [540, 1471, 1]
pt = [540, 1546, 1]
pt = [540, 1763, 1]
pt = [540, 2041, 1]
pt = [540, 2053, 1]
pt = [540, 2181, 1]
pt = [540, 2183, 1]
pt = [540, 2191, 1]
pt = [540, 2201, 1]
pt = [540, 2261, 1]
pt = [540, 2262, 1]
pt = [540, 2723, 1]
pt = [540, 2724, 1]
pt = [540, 2730, 1]
pt = [540, 2884, 1]
pt = [540, 3012, 1]
pt = [540, 3086, 1]
pt = [540, 3087, 1]
pt = [540, 3229, 1]
pt = [540, 3324, 1]
pt = [540, 3325, 1]
pt = [541, 1150, 1]
pt = [541, 1159, 1]
pt = [541, 1160, 1]
pt = [541, 1214, 1]
pt = [541, 1221, 1]
pt = [541, 1269, 1]
pt = [541, 1337, 1]
pt = [541, 1339, 1]
pt = [541, 1340, 1]
pt = [541, 1349, 1]
pt = [541, 1356, 1]
pt = [541, 1405, 1]
pt = [541, 1471, 1]
pt = [541, 1546, 1]
pt = [541, 1692, 1]
pt = [541, 2041, 1]
pt = [541, 2052, 1]
pt = [541, 2053, 1]
pt = [541, 2057, 1]
pt = [541, 2058, 1]
pt = [541, 2060, 1]
pt = [541, 2181, 1]
pt = [541, 2182, 1]
pt = [541, 2191, 1]
pt = [541, 2201, 1]
pt = [541, 2262, 1]
pt = [541, 2730, 1]
pt = [541, 2733, 1]
pt = [541, 3012, 1]
pt = [541, 3018, 1]
pt = [541, 3093, 1]
pt = [541, 3229, 1]
pt = [542, 1150, 1]
pt = [542, 1213, 1]
pt = [542, 1223, 1]
pt = [542, 1270, 1]
pt = [542, 1275, 1]
pt = [542, 1288, 1]
pt = [542, 1289, 1]
pt = [542, 1290, 1]
pt = [542, 1291, 1]
pt = [542, 1292, 1]
pt = [542, 1293, 1]
pt = [542, 1336, 1]
pt = [542, 1340, 1]
pt = [542, 1350, 1]
pt = [542, 1405, 1]
pt = [542, 1554, 1]
pt = [542, 1562, 1]
pt = [542, 1563, 1]
pt = [542, 1564, 1]
pt = [542, 1565, 1]
pt = [542, 2041, 1]
pt = [542, 2053, 1]
pt = [542, 2054, 1]
pt = [542, 2055, 1]
pt = [542, 2056, 1]
pt = [542, 2200, 1]
pt = [542, 2201, 1]
pt = [542, 2207, 1]
pt = [542, 2208, 1]
pt = [542, 2729, 1]
pt = [542, 2790, 1]
pt = [542, 3017, 1]
pt = [542, 3093, 1]
pt = [542, 3102, 1]
pt = [542, 3104, 1]
pt = [542, 3105, 1]
pt = [542, 3106, 1]
pt = [542, 3107, 1]
pt = [542, 3108, 1]
pt = [542, 3249, 1]
pt = [542, 3312, 1]
pt = [543, 1207, 1]
pt = [543, 1212, 1]
pt = [543, 1231, 1]
pt = [543, 1232, 1]
pt = [543, 1270, 1]
pt = [543, 1273, 1]
pt = [543, 1274, 1]
pt = [543, 1292, 1]
pt = [543, 1293, 1]
pt = [543, 1296, 1]
pt = [543, 1297, 1]
pt = [543, 1298, 1]
pt = [543, 1335, 1]
pt = [543, 1340, 1]
pt = [543, 1358, 1]
